Nilai_Matematika,Nilai_IPA,Nilai_Bahasa_Inggris,Minat,Bakat,Jurusan
99,91,92,Teknologi,Analitis,Teknik Informatika
94,91,94,Teknologi,Analitis,Teknik Informatika
92,94,91,Teknologi,Analitis,Teknik Informatika
95,94,90,Teknologi,Analitis,Teknik Informatika
92,91,87,Teknologi,Analitis,Teknik Informatika
95,90,88,Teknologi,Komunikatif,Teknik Informatika
94,90,88,Teknologi,Komunikatif,Teknik Informatika
94,89,89,Teknologi,Analitis,Teknik Informatika
98,92,86,Teknologi,Analitis,Teknik Informatika
99,91,89,Teknologi,Komunikatif,Teknik Informatika
95,95,88,Teknologi,Analitis,Teknik Informatika
94,89,89,Teknologi,Komunikatif,Teknik Informatika
90,90,90,Teknologi,Komunikatif,Teknik Informatika
100,90,88,Teknologi,Analitis,Teknik Informatika
97,93,94,Teknologi,Analitis,Teknik Informatika
93,95,85,Teknologi,Komunikatif,Teknik Informatika
98,92,89,Teknologi,Analitis,Teknik Informatika
96,95,93,Teknologi,Analitis,Teknik Informatika
92,95,89,Teknologi,Analitis,Teknik Informatika
99,90,87,Teknologi,Analitis,Teknik Informatika
93,91,86,Teknologi,Analitis,Teknik Informatika
100,89,94,Teknologi,Analitis,Teknik Informatika
95,88,88,Teknologi,Komunikatif,Teknik Informatika
98,92,86,Teknologi,Analitis,Teknik Informatika
100,91,92,Teknologi,Analitis,Teknik Informatika
93,89,87,Teknologi,Analitis,Teknik Informatika
99,88,87,Teknologi,Analitis,Teknik Informatika
94,89,95,Teknologi,Analitis,Teknik Informatika
99,90,94,Teknologi,Komunikatif,Teknik Informatika
91,94,93,Teknologi,Komunikatif,Teknik Informatika
99,89,86,Teknologi,Analitis,Teknik Informatika
99,88,92,Teknologi,Analitis,Teknik Informatika
99,94,87,Teknologi,Analitis,Teknik Informatika
100,91,92,Teknologi,Komunikatif,Teknik Informatika
96,88,87,Teknologi,Analitis,Teknik Informatika
98,90,90,Teknologi,Analitis,Teknik Informatika
99,94,90,Teknologi,Analitis,Teknik Informatika
96,95,91,Teknologi,Analitis,Teknik Informatika
96,95,85,Teknologi,Analitis,Teknik Informatika
91,88,85,Teknologi,Komunikatif,Teknik Informatika
95,91,85,Teknologi,Komunikatif,Teknik Informatika
93,91,86,Teknologi,Analitis,Teknik Informatika
95,95,88,Teknologi,Analitis,Teknik Informatika
95,88,88,Teknologi,Komunikatif,Teknik Informatika
90,91,92,Teknologi,Analitis,Teknik Informatika
95,95,91,Teknologi,Komunikatif,Teknik Informatika
98,89,94,Teknologi,Analitis,Teknik Informatika
100,93,91,Teknologi,Komunikatif,Teknik Informatika
90,90,91,Teknologi,Analitis,Teknik Informatika
90,92,95,Teknologi,Analitis,Teknik Informatika
98,90,95,Teknologi,Analitis,Teknik Informatika
95,90,87,Teknologi,Analitis,Teknik Informatika
92,95,88,Teknologi,Komunikatif,Teknik Informatika
97,89,91,Teknologi,Analitis,Teknik Informatika
93,94,86,Teknologi,Analitis,Teknik Informatika
90,88,85,Teknologi,Analitis,Teknik Informatika
100,91,92,Teknologi,Analitis,Teknik Informatika
91,92,95,Teknologi,Analitis,Teknik Informatika
92,95,93,Teknologi,Komunikatif,Teknik Informatika
92,92,87,Teknologi,Analitis,Teknik Informatika
100,89,93,Teknologi,Analitis,Teknik Informatika
95,89,91,Teknologi,Komunikatif,Teknik Informatika
98,95,92,Teknologi,Analitis,Teknik Informatika
96,88,94,Teknologi,Komunikatif,Teknik Informatika
93,93,95,Teknologi,Analitis,Teknik Informatika
100,94,93,Teknologi,Komunikatif,Teknik Informatika
93,88,90,Teknologi,Analitis,Teknik Informatika
98,92,86,Teknologi,Analitis,Teknik Informatika
99,90,88,Teknologi,Analitis,Teknik Informatika
90,90,89,Teknologi,Analitis,Teknik Informatika
95,95,88,Teknologi,Analitis,Teknik Informatika
96,89,90,Teknologi,Komunikatif,Teknik Informatika
90,90,91,Teknologi,Analitis,Teknik Informatika
93,95,86,Teknologi,Analitis,Teknik Informatika
92,90,89,Teknologi,Komunikatif,Teknik Informatika
95,91,95,Teknologi,Analitis,Teknik Informatika
98,90,90,Teknologi,Analitis,Teknik Informatika
90,88,85,Teknologi,Analitis,Teknik Informatika
95,88,95,Teknologi,Analitis,Teknik Informatika
90,88,91,Teknologi,Analitis,Teknik Informatika
99,94,87,Teknologi,Analitis,Teknik Informatika
91,93,91,Teknologi,Analitis,Teknik Informatika
98,91,93,Teknologi,Analitis,Teknik Informatika
100,94,87,Teknologi,Analitis,Teknik Informatika
92,95,87,Teknologi,Analitis,Teknik Informatika
94,94,92,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
93,88,95,Teknologi,Komunikatif,Teknik Informatika
99,90,87,Teknologi,Analitis,Teknik Informatika
98,91,89,Teknologi,Analitis,Teknik Informatika
93,91,89,Teknologi,Komunikatif,Teknik Informatika
91,92,95,Teknologi,Analitis,Teknik Informatika
92,95,88,Teknologi,Analitis,Teknik Informatika
98,93,93,Teknologi,Komunikatif,Teknik Informatika
95,93,87,Teknologi,Komunikatif,Teknik Informatika
93,92,89,Teknologi,Analitis,Teknik Informatika
94,91,94,Teknologi,Analitis,Teknik Informatika
99,89,86,Teknologi,Analitis,Teknik Informatika
100,90,86,Teknologi,Analitis,Teknik Informatika
96,94,85,Teknologi,Analitis,Teknik Informatika
100,91,93,Teknologi,Analitis,Teknik Informatika
92,95,93,Teknologi,Komunikatif,Teknik Informatika
90,95,91,Teknologi,Komunikatif,Teknik Informatika
94,89,92,Teknologi,Analitis,Teknik Informatika
99,90,88,Teknologi,Komunikatif,Teknik Informatika
92,89,88,Teknologi,Komunikatif,Teknik Informatika
90,91,93,Teknologi,Komunikatif,Teknik Informatika
99,92,87,Teknologi,Analitis,Teknik Informatika
100,91,88,Teknologi,Komunikatif,Teknik Informatika
90,95,90,Teknologi,Analitis,Teknik Informatika
92,89,85,Teknologi,Analitis,Teknik Informatika
95,93,90,Teknologi,Komunikatif,Teknik Informatika
96,90,95,Teknologi,Analitis,Teknik Informatika
99,90,85,Teknologi,Komunikatif,Teknik Informatika
90,95,94,Teknologi,Analitis,Teknik Informatika
93,91,89,Teknologi,Komunikatif,Teknik Informatika
96,93,87,Teknologi,Analitis,Teknik Informatika
94,89,89,Teknologi,Komunikatif,Teknik Informatika
95,95,91,Teknologi,Analitis,Teknik Informatika
94,92,92,Teknologi,Analitis,Teknik Informatika
98,90,95,Teknologi,Analitis,Teknik Informatika
92,95,89,Teknologi,Analitis,Teknik Informatika
91,92,95,Teknologi,Analitis,Teknik Informatika
100,91,92,Teknologi,Analitis,Teknik Informatika
90,92,95,Teknologi,Analitis,Teknik Informatika
95,95,90,Teknologi,Analitis,Teknik Informatika
91,88,93,Teknologi,Komunikatif,Teknik Informatika
100,93,95,Teknologi,Analitis,Teknik Informatika
90,90,93,Teknologi,Analitis,Teknik Informatika
92,89,85,Teknologi,Analitis,Teknik Informatika
90,88,94,Teknologi,Komunikatif,Teknik Informatika
91,94,94,Teknologi,Analitis,Teknik Informatika
97,93,92,Teknologi,Analitis,Teknik Informatika
100,88,95,Teknologi,Analitis,Teknik Informatika
93,89,86,Teknologi,Komunikatif,Teknik Informatika
95,92,88,Teknologi,Analitis,Teknik Informatika
94,94,90,Teknologi,Analitis,Teknik Informatika
90,88,85,Teknologi,Analitis,Teknik Informatika
94,88,92,Teknologi,Analitis,Teknik Informatika
95,90,87,Teknologi,Analitis,Teknik Informatika
92,91,87,Teknologi,Analitis,Teknik Informatika
96,95,93,Teknologi,Analitis,Teknik Informatika
91,90,87,Teknologi,Analitis,Teknik Informatika
100,93,91,Teknologi,Analitis,Teknik Informatika
99,94,88,Teknologi,Analitis,Teknik Informatika
94,93,87,Teknologi,Analitis,Teknik Informatika
90,88,85,Teknologi,Analitis,Teknik Informatika
91,88,91,Teknologi,Analitis,Teknik Informatika
99,91,92,Teknologi,Komunikatif,Teknik Informatika
100,92,86,Teknologi,Komunikatif,Teknik Informatika
93,90,88,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
100,93,95,Teknologi,Analitis,Teknik Informatika
95,94,94,Teknologi,Analitis,Teknik Informatika
100,89,94,Teknologi,Komunikatif,Teknik Informatika
95,94,87,Teknologi,Komunikatif,Teknik Informatika
93,91,94,Teknologi,Analitis,Teknik Informatika
95,93,89,Teknologi,Analitis,Teknik Informatika
91,89,94,Teknologi,Analitis,Teknik Informatika
96,93,89,Teknologi,Analitis,Teknik Informatika
95,94,94,Teknologi,Analitis,Teknik Informatika
91,88,95,Teknologi,Komunikatif,Teknik Informatika
100,91,89,Teknologi,Analitis,Teknik Informatika
92,92,94,Teknologi,Analitis,Teknik Informatika
90,92,95,Teknologi,Analitis,Teknik Informatika
93,92,89,Teknologi,Analitis,Teknik Informatika
94,90,91,Teknologi,Komunikatif,Teknik Informatika
91,95,95,Teknologi,Analitis,Teknik Informatika
99,90,90,Teknologi,Analitis,Teknik Informatika
91,95,90,Teknologi,Komunikatif,Teknik Informatika
92,94,86,Teknologi,Komunikatif,Teknik Informatika
92,94,92,Teknologi,Analitis,Teknik Informatika
95,95,88,Teknologi,Analitis,Teknik Informatika
96,90,86,Teknologi,Analitis,Teknik Informatika
98,89,89,Teknologi,Analitis,Teknik Informatika
97,89,86,Teknologi,Komunikatif,Teknik Informatika
92,92,92,Teknologi,Analitis,Teknik Informatika
100,95,89,Teknologi,Analitis,Teknik Informatika
100,88,95,Teknologi,Analitis,Teknik Informatika
94,93,95,Teknologi,Analitis,Teknik Informatika
99,93,89,Teknologi,Analitis,Teknik Informatika
90,89,88,Teknologi,Analitis,Teknik Informatika
97,88,89,Teknologi,Analitis,Teknik Informatika
96,94,91,Teknologi,Analitis,Teknik Informatika
97,92,91,Teknologi,Komunikatif,Teknik Informatika
98,89,88,Teknologi,Analitis,Teknik Informatika
98,94,88,Teknologi,Analitis,Teknik Informatika
92,89,86,Teknologi,Analitis,Teknik Informatika
95,91,92,Teknologi,Analitis,Teknik Informatika
97,88,89,Teknologi,Analitis,Teknik Informatika
97,95,86,Teknologi,Analitis,Teknik Informatika
97,89,88,Teknologi,Komunikatif,Teknik Informatika
96,95,88,Teknologi,Komunikatif,Teknik Informatika
95,93,90,Teknologi,Komunikatif,Teknik Informatika
90,90,93,Teknologi,Analitis,Teknik Informatika
95,94,86,Teknologi,Komunikatif,Teknik Informatika
90,89,95,Teknologi,Analitis,Teknik Informatika
94,93,86,Teknologi,Analitis,Teknik Informatika
100,88,85,Teknologi,Komunikatif,Teknik Informatika
94,89,89,Teknologi,Komunikatif,Teknik Informatika
92,90,94,Teknologi,Komunikatif,Teknik Informatika
93,88,89,Teknologi,Analitis,Teknik Informatika
99,92,88,Teknologi,Komunikatif,Teknik Informatika
93,90,85,Teknologi,Analitis,Teknik Informatika
93,92,89,Teknologi,Analitis,Teknik Informatika
91,91,89,Teknologi,Komunikatif,Teknik Informatika
99,91,91,Teknologi,Analitis,Teknik Informatika
99,93,86,Teknologi,Analitis,Teknik Informatika
90,91,89,Teknologi,Analitis,Teknik Informatika
99,89,87,Teknologi,Komunikatif,Teknik Informatika
90,88,94,Teknologi,Komunikatif,Teknik Informatika
90,91,87,Teknologi,Analitis,Teknik Informatika
97,91,89,Teknologi,Komunikatif,Teknik Informatika
96,93,89,Teknologi,Analitis,Teknik Informatika
96,88,86,Teknologi,Analitis,Teknik Informatika
95,95,95,Teknologi,Komunikatif,Teknik Informatika
96,94,94,Teknologi,Analitis,Teknik Informatika
94,93,95,Teknologi,Analitis,Teknik Informatika
98,89,94,Teknologi,Komunikatif,Teknik Informatika
93,93,95,Teknologi,Analitis,Teknik Informatika
98,95,92,Teknologi,Analitis,Teknik Informatika
99,89,86,Teknologi,Analitis,Teknik Informatika
90,89,87,Teknologi,Analitis,Teknik Informatika
91,89,91,Teknologi,Analitis,Teknik Informatika
99,90,86,Teknologi,Analitis,Teknik Informatika
95,95,91,Teknologi,Komunikatif,Teknik Informatika
98,91,95,Teknologi,Komunikatif,Teknik Informatika
99,95,89,Teknologi,Analitis,Teknik Informatika
97,92,89,Teknologi,Analitis,Teknik Informatika
91,89,93,Teknologi,Analitis,Teknik Informatika
95,88,94,Teknologi,Komunikatif,Teknik Informatika
92,95,93,Teknologi,Analitis,Teknik Informatika
100,91,87,Teknologi,Analitis,Teknik Informatika
97,88,89,Teknologi,Analitis,Teknik Informatika
93,94,89,Teknologi,Analitis,Teknik Informatika
99,90,94,Teknologi,Komunikatif,Teknik Informatika
94,93,94,Teknologi,Analitis,Teknik Informatika
98,90,89,Teknologi,Analitis,Teknik Informatika
97,89,88,Teknologi,Komunikatif,Teknik Informatika
90,90,85,Teknologi,Analitis,Teknik Informatika
97,92,86,Teknologi,Analitis,Teknik Informatika
92,89,88,Teknologi,Komunikatif,Teknik Informatika
100,91,92,Teknologi,Analitis,Teknik Informatika
98,95,87,Teknologi,Analitis,Teknik Informatika
